crop,area_feddans,season,soil_type,region,seed_cost_egp,fertilizer_cost_egp,irrigation_cost_egp,labor_cost_egp,pesticide_cost_egp,profit_per_feddan_egp,price_egp_per_ton
Tomato,63,Nile,Clay,North_Coast,0,9777,28492,45632,762,44467,4864
Fava Beans,32,Winter,Sandy,North_Coast,5998,6624,5278,0,2516,25285,44444
Rice,71,Summer,Loamy,Delta,11981,28701,37074,40603,0,83735,24196
Sugarcane,2,Summer,Clay,Upper_Egypt,4744,3774,3392,4098,1041,104923,2500
Potato,92,Winter,Sandy,North_Coast,33096,20173,7929,12158,25248,35356,5191
Tomato,49,Nile,Sandy,Upper_Egypt,36464,0,16641,16033,22885,39107,4361
Sugarcane,280,Summer,Clay,Upper_Egypt,14237,0,24307,23952,10533,115745,2500
Tomato,15,Summer,Clay,North_Coast,22136,17902,19857,20069,12574,48002,3457
Rice,392,Summer,Loamy,Delta,28764,20399,32580,22390,1086,85996,23919
Tomato,14,Nile,Sandy,Delta,55214,14699,48418,0,28817,32850,4725
Rice,100,Summer,Loamy,Delta,80801,64480,54870,47524,27821,78473,23307
Wheat,10,Winter,Loamy,North_Coast,8428,5791,4472,5495,2847,33207,18488
Sugarcane,465,Summer,Clay,Upper_Egypt,91801,44535,38500,64203,9693,110441,2500
Maize,2,Summer,Calcareous,Upper_Egypt,1708,1299,861,1016,702,37704,12888
Wheat,100,Winter,Loamy,Sinai,14903,9053,5820,4484,6542,32315,18806
Maize,125,Summer,Calcareous,North_Coast,0,0,6755,0,2087,32835,12729
Tomato,10,Summer,Loamy,Sinai,14149,9519,11761,13828,7596,41228,3309
Potato,23,Winter,Clay,NewLands,0,50166,22753,29039,7626,43945,5811
Tomato,100,Summer,Clay,Sinai,123509,81592,102131,109893,57392,43891,4355
Rice,356,Summer,Loamy,Delta,25901,659,0,0,32037,87681,23078
Rice,178,Summer,Clay,Delta,32986,3942,27279,14745,7177,76624,23419
Fava Beans,28,Winter,Sandy,North_Coast,12454,0,9409,16169,1818,22572,44597
Fava Beans,62,Winter,Clay,North_Coast,3741,3077,9192,12466,537,21813,44540
Cotton,95,Summer,Loamy,Upper_Egypt,0,7595,1044,16139,15899,14426,31525
Sugarcane,20,Summer,Clay,Upper_Egypt,36042,33390,28046,36769,9427,93419,2500
Cotton,41,Summer,Loamy,Upper_Egypt,25280,0,3522,40288,13267,15538,30554
Tomato,34,Nile,Sandy,Upper_Egypt,37408,0,20199,28561,30708,41240,4691
Cotton,20,Summer,Sandy,Upper_Egypt,28962,10267,16329,0,19044,21502,28102
Fava Beans,20,Winter,Calcareous,North_Coast,10323,6305,5996,8283,3747,16982,44275
Maize,1,Summer,Calcareous,Delta,918,600,524,644,344,36925,12814
Wheat,127,Winter,Clay,NewLands,33376,21375,5734,6184,7462,39416,18100
Cotton,1,Summer,Sandy,NewLands,1202,940,804,977,552,6007,30904
Sugarcane,50,Nile,Loamy,Upper_Egypt,87726,84548,60389,94168,20846,94494,2500
Sugarcane,436,Nile,Clay,Upper_Egypt,0,60788,0,36764,30154,105831,2500
Tomato,2,Nile,Sandy,Delta,0,29740,42283,3866,35032,23190,4150
Rice,33,Summer,Loamy,Delta,31449,26674,19741,12598,10873,76947,23643
Rice,50,Summer,Loamy,Delta,39327,31056,30473,25705,18687,76879,23008
Cotton,89,Summer,Sandy,Upper_Egypt,0,19565,12318,2187,0,14290,29593
Wheat,183,Winter,Loamy,Upper_Egypt,2774,2937,5745,29916,3603,18653,18359
Fava Beans,3,Winter,Clay,Delta,2078,1012,1129,1104,534,36245,44696
Tomato,20,Summer,Loamy,Sinai,26424,23249,20359,24858,14824,19452,4089
Potato,13,Winter,Loamy,Delta,51130,52692,28153,13539,21348,46627,6723
Fava Beans,30,Nile,Loamy,Sinai,4890,5391,8983,4941,2479,20957,44533
Cotton,58,Summer,Sandy,Delta,8059,13351,11165,15105,17187,18832,29619
Maize,2,Summer,Clay,Upper_Egypt,1618,1157,989,1086,759,41251,13722
Wheat,135,Winter,Clay,Upper_Egypt,0,30103,5298,0,12605,27775,17914
Fava Beans,5,Nile,Sandy,Sinai,0,11095,8518,11414,8070,18602,44448
Tomato,53,Nile,Sandy,Delta,46469,56400,87672,15905,10013,27513,3878
Potato,81,Summer,Sandy,Delta,40031,22954,0,38237,3372,46713,6508
Tomato,5,Nile,Loamy,Delta,6483,6055,6688,7764,3656,54068,5156
Cotton,61,Summer,Clay,Upper_Egypt,37076,14660,23418,8908,8999,14883,32192
Rice,343,Summer,Loamy,Delta,15130,4494,33081,15344,12928,77994,23703
Fava Beans,74,Nile,Loamy,Delta,35378,9167,11492,8922,0,22370,44471
Rice,446,Summer,Loamy,North_Coast,19158,19444,44334,17474,4329,80242,22791
Wheat,63,Winter,Clay,Delta,18109,12204,1723,6047,0,36130,17625
Fava Beans,50,Winter,Clay,Upper_Egypt,9330,5336,7282,9770,802,21171,44808
Potato,16,Winter,Sandy,NewLands,28628,7136,37314,18135,4114,43558,6223
Fava Beans,75,Winter,Sandy,Sinai,12704,1031,3523,3246,0,20874,44427
Tomato,49,Nile,Loamy,Delta,21635,12232,60797,41207,25875,37726,4998
Maize,30,Summer,Sandy,Upper_Egypt,16477,14489,11478,11877,7103,23872,12751
Sugarcane,307,Nile,Clay,Upper_Egypt,47847,25699,49579,0,13776,97682,2500
Maize,1,Summer,Clay,NewLands,747,753,462,616,352,29904,12975
Rice,102,Summer,Clay,Delta,14767,25610,35126,0,11088,72921,23367
Cotton,42,Summer,Loamy,Upper_Egypt,28545,16363,22354,4893,8691,21260,29755
Sugarcane,116,Nile,Clay,Upper_Egypt,59923,2438,31091,0,33036,106979,2500
Sugarcane,192,Summer,Loamy,Upper_Egypt,0,56295,15524,71592,9793,107471,2500
Potato,13,Winter,Sandy,NewLands,39729,38900,53991,22434,19265,33324,6565
Fava Beans,71,Winter,Sandy,Sinai,3031,5086,8581,16257,6961,37896,44497
Tomato,21,Winter,Loamy,North_Coast,77093,7221,40494,2949,7728,40126,4756
Wheat,73,Winter,Sandy,Upper_Egypt,124,16900,11745,9490,11544,29775,17919
Tomato,73,Nile,Clay,North_Coast,0,17836,42102,27222,17296,38363,4406
Wheat,65,Winter,Sandy,North_Coast,0,16411,5419,715,2172,32144,18117
Potato,18,Nile,Clay,Delta,67593,28126,39536,34103,4291,20556,6387
Rice,2,Summer,Clay,Delta,1860,1696,1742,1524,896,74525,23018
Maize,65,Summer,Sandy,Delta,14451,8616,7911,9353,1557,28034,13216
Tomato,32,Nile,Loamy,Delta,0,33428,64549,44543,24379,40535,4893
Fava Beans,37,Winter,Clay,North_Coast,0,2774,9365,14533,3079,27237,44605
Potato,66,Nile,Sandy,Sinai,74561,39093,11863,5959,18558,26867,6107
Tomato,32,Summer,Clay,Delta,57821,45785,31976,34211,5774,24193,3980
Maize,194,Summer,Clay,Upper_Egypt,0,12883,0,10977,2142,36384,13022
Maize,28,Summer,Loamy,NewLands,22837,5103,11417,5658,9216,30836,12874
Fava Beans,3,Winter,Clay,North_Coast,2656,2086,9698,10059,8492,20312,44449
Maize,17,Summer,Clay,Delta,0,14156,9653,1402,9011,34738,12918
Cotton,1,Summer,Calcareous,NewLands,1258,978,680,803,677,14761,28467
Fava Beans,65,Winter,Calcareous,North_Coast,0,13777,3821,0,4429,25528,44206
Sugarcane,89,Summer,Clay,Upper_Egypt,0,86833,36309,0,4246,98179,2500
Rice,118,Summer,Clay,North_Coast,0,1946,30885,9248,15212,82163,23111
Sugarcane,344,Nile,Loamy,NewLands,71972,1986,64506,67134,13628,99182,2500
Wheat,57,Winter,Clay,Delta,4707,448,6488,20856,0,39470,18418
Potato,36,Winter,Loamy,Sinai,39056,20400,0,61692,21792,42267,7069
Wheat,178,Winter,Clay,Delta,21853,24643,19771,32952,2606,25704,18891
Sugarcane,3,Nile,Clay,Upper_Egypt,6844,6395,5165,6374,1485,105846,2500
Maize,102,Summer,Loamy,Delta,20776,16465,17483,17359,3498,44070,13132
Fava Beans,3,Winter,Sandy,Sinai,1992,1122,1106,1130,598,21385,44677
Fava Beans,15,Winter,Sandy,North_Coast,8864,4304,4141,5779,2854,22377,44392
Cotton,148,Summer,Sandy,Delta,20754,2858,11029,935,20696,21507,28939
Maize,237,Summer,Sandy,Delta,0,22627,11712,6913,5359,36540,12257
Tomato,96,Winter,Clay,North_Coast,42247,40588,46644,42634,31728,23683,4936
Fava Beans,20,Winter,Clay,Upper_Egypt,11952,5198,4976,7260,3869,27256,44733
Potato,30,Winter,Loamy,North_Coast,53060,32767,36698,35529,14739,33359,5618
Rice,181,Summer,Clay,North_Coast,35093,28973,32049,0,6519,91696,22854
Fava Beans,7,Winter,Calcareous,NewLands,4358,1920,2101,2634,1391,25965,44387
Potato,20,Nile,Clay,Sinai,38353,28530,24307,28027,10884,41161,6172
Potato,5,Nile,Clay,Sinai,9024,6465,5751,8160,2859,40110,6610
Maize,255,Summer,Sandy,Delta,194,5610,12642,6511,15410,33574,12536
Sugarcane,5,Summer,Clay,Upper_Egypt,10776,9119,9208,10553,2479,101463,2500
Potato,43,Summer,Sandy,North_Coast,59504,25313,29760,55694,7498,32003,5782
Maize,159,Summer,Clay,Delta,11218,21823,9428,11900,3419,36999,13055
Sugarcane,225,Nile,Clay,Upper_Egypt,5279,31154,64560,0,13441,100858,2500
Fava Beans,39,Winter,Sandy,Upper_Egypt,0,11360,11137,7681,10776,21759,44473
Cotton,50,Summer,Sandy,Delta,46419,29721,26025,37037,19417,18060,29699
Potato,3,Nile,Loamy,Sinai,22078,12346,64621,5968,5539,27695,5819
Potato,13,Nile,Calcareous,North_Coast,1204,41150,31400,22908,19470,29342,6519
Rice,23,Nile,Clay,Delta,13804,67045,0,8592,20921,77522,23241
Maize,160,Summer,Loamy,North_Coast,24532,1232,4770,12336,4738,33972,13085
Tomato,49,Nile,Sandy,Upper_Egypt,14899,11231,43254,40266,11909,37859,3861
Tomato,5,Summer,Loamy,Delta,6577,5292,5702,8050,4325,56751,4252
Maize,295,Summer,Clay,Delta,10467,6272,8808,11158,0,24709,13274
Fava Beans,2,Winter,Loamy,Upper_Egypt,1107,635,689,951,368,23303,44507
Potato,10,Nile,Sandy,North_Coast,19645,15565,13157,14574,5960,32278,6335
Rice,50,Summer,Loamy,Delta,33283,26223,32302,24510,18643,86862,24015
Cotton,7,Summer,Sandy,NewLands,7296,5534,4498,5281,3960,11975,31305
Cotton,5,Summer,Loamy,Delta,5918,4047,2900,4123,3053,20103,29976
Tomato,5,Nile,Sandy,Upper_Egypt,0,26033,9440,28692,559,46575,4194
Sugarcane,323,Summer,Sandy,Upper_Egypt,5937,63317,62314,4223,15579,105329,2500
Potato,38,Nile,Sandy,NewLands,40446,0,67750,96320,0,50002,5846
Wheat,39,Winter,Loamy,Sinai,18913,4485,0,0,852,34505,18257
Cotton,33,Summer,Calcareous,Delta,33856,29026,22846,19022,3483,20221,30393
Rice,52,Nile,Clay,Delta,23706,10957,11567,16677,13020,81864,22912
Rice,378,Nile,Loamy,Delta,0,16050,56416,25260,4959,83463,22816
Wheat,130,Winter,Calcareous,Delta,3446,0,5748,18979,4464,23709,17575
Wheat,10,Winter,Clay,Delta,8352,6475,4103,4404,3203,44412,17969
Maize,100,Summer,Clay,North_Coast,57485,52309,33146,36126,28286,26440,13156
Cotton,5,Summer,Clay,Upper_Egypt,30104,0,27319,17152,5042,12723,32257
Tomato,4,Summer,Loamy,Sinai,0,28218,39755,32102,17385,37940,4375
Fava Beans,30,Winter,Clay,North_Coast,16206,8405,8981,9776,5618,21502,44550
Fava Beans,91,Nile,Sandy,Sinai,16341,1306,0,3539,0,22139,44645
Potato,63,Summer,Sandy,North_Coast,42675,75156,21355,56539,21220,23926,5466
Cotton,39,Summer,Loamy,Delta,25728,34834,27739,25104,14086,12128,30360
Potato,7,Winter,Loamy,NewLands,34076,23750,0,33881,12522,49165,5507
Rice,265,Summer,Clay,Delta,48355,17734,16820,7838,0,80268,23497
Fava Beans,94,Winter,Clay,Sinai,5070,21149,402,0,0,26667,44524
Sugarcane,246,Nile,Loamy,Upper_Egypt,43342,23288,55453,57049,15994,102133,2500
Rice,50,Summer,Loamy,Delta,16301,0,28886,8260,6607,84704,22551
Tomato,7,Nile,Loamy,Upper_Egypt,11305,9084,8286,9962,5126,44094,4727
Cotton,21,Nile,Sandy,Delta,27064,21980,16706,18707,0,22855,32776
Fava Beans,44,Winter,Loamy,Delta,3567,15511,6775,7143,1904,22670,44349
Tomato,1,Summer,Sandy,Sinai,1611,1371,1320,1654,852,16019,4269
Cotton,20,Summer,Sandy,Delta,11193,29389,5975,0,14722,14604,30170
Wheat,30,Winter,Sandy,North_Coast,22426,14417,12909,15947,9353,22542,18780
Tomato,35,Winter,Loamy,Delta,68900,20075,50253,6223,24893,43478,4172
Rice,122,Summer,Clay,Delta,50901,29551,11643,9019,3861,68909,21373
Tomato,50,Nile,Loamy,North_Coast,66361,41988,54892,53786,37085,23452,5012
Rice,234,Summer,Loamy,Delta,1346,0,9850,0,7566,79478,23437
Maize,102,Summer,Clay,Delta,13577,12757,10519,10551,0,24919,12536
Rice,100,Summer,Clay,Delta,70359,57952,58252,47459,33968,81184,22651
Sugarcane,234,Nile,Loamy,Upper_Egypt,22234,48856,55649,71853,8644,101001,2500
Rice,203,Summer,Clay,Delta,23748,27244,42601,0,15164,78818,23832
Maize,216,Summer,Sandy,Delta,0,0,17064,14415,7317,33735,13286
Rice,473,Summer,Clay,Delta,18928,18472,0,11049,12505,77170,22899
Wheat,59,Winter,Loamy,Delta,38363,9734,4349,12732,1583,25637,18449
Wheat,176,Winter,Loamy,NewLands,0,0,3387,18920,14340,44895,18349
Sugarcane,279,Nile,Clay,Upper_Egypt,15936,7404,8163,73528,6375,103848,2500
Tomato,38,Nile,Clay,North_Coast,28418,46104,38947,19367,24487,25800,4034
Fava Beans,90,Winter,Sandy,Upper_Egypt,12743,4929,0,19287,2583,20196,44380
Tomato,100,Nile,Loamy,Upper_Egypt,112156,94019,99835,124081,59777,49547,4859
Sugarcane,50,Summer,Loamy,Upper_Egypt,93609,85096,63988,90334,23214,106533,2500
Fava Beans,97,Winter,Loamy,Delta,29904,0,0,7920,6100,18322,44709
Sugarcane,2,Nile,Loamy,Upper_Egypt,4231,3451,3084,4014,1255,110465,2500
Fava Beans,3,Winter,Sandy,Upper_Egypt,17229,8652,4594,4883,8178,28705,44493
Maize,66,Summer,Loamy,Delta,23423,14145,0,13347,0,28426,12765
Rice,479,Summer,Loamy,Delta,13537,23919,32150,14476,0,81679,23005
Fava Beans,25,Winter,Loamy,Sinai,24899,5591,130,1036,0,21124,44278
Wheat,119,Winter,Clay,Upper_Egypt,22950,16864,12231,11157,2945,18146,18181
Wheat,3,Winter,Calcareous,NewLands,2753,1902,1457,1661,874,26653,17736
Sugarcane,335,Nile,Loamy,Upper_Egypt,54954,90283,56942,15853,1160,97414,2500
Tomato,30,Nile,Sandy,Delta,66201,0,0,34209,27817,52970,4731
Sugarcane,50,Summer,Clay,Upper_Egypt,88983,75410,60458,77440,20847,95447,2500
Tomato,93,Nile,Clay,Upper_Egypt,13419,29909,4361,50772,0,44623,5001
Sugarcane,274,Nile,Loamy,Upper_Egypt,44619,36700,61649,0,29097,111314,2500
Rice,77,Summer,Loamy,Delta,17650,12737,29776,23276,7680,73726,23027
Fava Beans,58,Winter,Sandy,Sinai,15300,6693,11265,3790,0,21070,44404
Sugarcane,293,Nile,Clay,Upper_Egypt,36102,74675,32131,63919,21456,102737,2500
Cotton,10,Summer,Sandy,Upper_Egypt,0,39102,23130,18997,10822,10064,27990
Fava Beans,32,Winter,Clay,Upper_Egypt,24235,8951,0,5108,3214,24025,44504
Wheat,8,Nile,Sandy,Delta,6001,7521,22259,7925,4288,29863,18495
Wheat,92,Winter,Clay,North_Coast,17283,14160,8621,3431,2247,25876,19042
Maize,73,Nile,Clay,Upper_Egypt,0,15178,20003,5415,7296,30046,13124
Cotton,7,Summer,Sandy,NewLands,7744,5875,4288,5423,3887,7723,29144
Cotton,142,Summer,Clay,NewLands,0,14547,12966,0,257,22174,28507
Fava Beans,8,Winter,Sandy,North_Coast,10883,11483,8130,13389,3752,15673,44450
Potato,55,Winter,Sandy,Sinai,72312,80122,12177,52668,18476,34362,5350
Maize,242,Summer,Clay,Delta,2736,31511,13553,0,0,28183,13036
Cotton,124,Summer,Sandy,Upper_Egypt,25598,19772,11943,23109,9625,13130,29051
Sugarcane,314,Nile,Clay,Upper_Egypt,20922,44837,33768,77731,7275,107311,2500
Potato,57,Winter,Sandy,North_Coast,98180,0,0,1553,18156,23657,6687
Tomato,15,Nile,Loamy,Delta,19871,16417,18700,21554,10010,37400,4199
Fava Beans,43,Winter,Clay,Delta,0,9521,1722,0,0,19160,44310
Rice,363,Summer,Loamy,North_Coast,33798,23633,34128,0,11447,89512,22904
Sugarcane,349,Summer,Loamy,Upper_Egypt,12145,14829,1544,4655,3945,111877,2500
Rice,444,Summer,Loamy,Delta,22333,22589,588,26003,4031,85548,21997
Wheat,10,Winter,Clay,Upper_Egypt,8033,6468,4108,4660,2740,28038,18566
Potato,20,Nile,Sandy,Delta,30989,25804,25428,28130,10906,53127,5326
Wheat,2,Winter,Clay,Delta,1576,1391,861,1067,629,35596,19214
Cotton,115,Nile,Calcareous,Upper_Egypt,18049,37584,27596,21271,0,15281,30581
Tomato,9,Nile,Loamy,Delta,24058,34004,70673,25087,5355,41665,4242
Tomato,43,Summer,Sandy,Sinai,9702,9736,15565,15705,15156,49703,4091
Fava Beans,61,Winter,Sandy,Upper_Egypt,24648,4980,619,2405,10851,14984,44485
Tomato,59,Nile,Clay,North_Coast,19764,39660,40198,10402,31661,39107,4685
Tomato,52,Nile,Loamy,Delta,4845,58865,46264,47833,15945,37174,4406
Wheat,177,Nile,Calcareous,North_Coast,13429,7651,3736,2068,0,23527,18308
Sugarcane,478,Summer,Clay,NewLands,3134,38348,0,50890,0,108796,2500
Maize,295,Summer,Clay,Delta,0,19022,26673,13491,3492,32159,12854
Maize,279,Summer,Sandy,Upper_Egypt,7426,6274,4899,0,0,41688,12927
Potato,39,Summer,Loamy,Delta,20455,49429,50958,43043,596,25583,4712
Wheat,35,Winter,Loamy,North_Coast,24054,0,4645,15582,5914,29341,18868
Tomato,9,Nile,Sandy,Delta,0,40822,54185,54416,3522,36728,4548
Tomato,39,Summer,Sandy,Delta,22332,18454,22376,42952,0,56984,4079
Rice,193,Summer,Clay,Delta,25784,22675,21348,19136,9046,83369,24091
Sugarcane,20,Summer,Loamy,Upper_Egypt,39781,35968,28620,33877,10134,99854,2500
Sugarcane,190,Nile,Loamy,Upper_Egypt,0,49526,0,25409,0,117151,2500
Rice,140,Summer,Clay,NewLands,6879,8996,36623,2011,8177,80854,23492
Fava Beans,100,Winter,Loamy,Delta,49727,24850,25841,31796,17132,34481,44561
Wheat,124,Winter,Loamy,Upper_Egypt,2248,0,24353,16899,2782,29357,18596
Sugarcane,229,Summer,Clay,Upper_Egypt,21944,0,0,74703,23360,105010,2500
Sugarcane,246,Nile,Clay,NewLands,0,14912,58601,37178,21460,103962,2500
Potato,1,Nile,Clay,Sinai,2018,1763,1615,1582,739,28744,5790
Rice,2,Summer,Loamy,Delta,2107,1571,1976,1561,918,85677,23320
Cotton,50,Summer,Clay,Delta,45755,36171,27683,33633,20631,24191,27166
Rice,388,Summer,Clay,Delta,1526,3867,7331,2107,10151,74743,22751
Potato,54,Nile,Loamy,NewLands,5996,59314,25800,0,0,23488,6964
Wheat,55,Winter,Clay,Sinai,30310,25860,8251,0,0,29041,18050
Fava Beans,2,Winter,Sandy,North_Coast,1335,709,635,991,406,21542,44410
Cotton,149,Summer,Loamy,Upper_Egypt,28486,6691,2723,0,0,14430,29215
Maize,29,Summer,Calcareous,NewLands,1619,11534,3622,6402,16732,31684,12683
Rice,227,Summer,Loamy,Delta,9375,39426,26259,19673,15507,73906,21732
Wheat,10,Winter,Calcareous,Delta,6759,6283,4355,5002,3372,34437,18302
Potato,27,Winter,Calcareous,Delta,13580,36313,22600,21705,6239,40248,6026
Sugarcane,20,Summer,Loamy,Upper_Egypt,37304,30853,28125,32087,10675,98015,2500
Cotton,3,Summer,Loamy,Delta,17445,19322,10131,1450,10000,12508,29641
Wheat,109,Winter,Clay,Delta,17743,3327,9414,3072,2306,36706,18431
Cotton,69,Summer,Sandy,NewLands,33155,8917,10597,10274,3432,15817,31283
Rice,496,Summer,Loamy,Delta,18871,14654,16356,13278,7900,78342,22891
Potato,18,Nile,Sandy,Sinai,59900,26876,47630,67765,3986,37383,5606
Potato,71,Winter,Loamy,Delta,50324,14737,11346,28563,27022,30105,5779
Wheat,5,Winter,Loamy,Sinai,4569,3097,1951,2410,1802,34758,18682
Cotton,127,Summer,Clay,Delta,7360,5911,1436,33135,7046,15576,31830
Rice,100,Summer,Clay,Delta,73225,54227,68348,51040,28757,82414,22640
Wheat,79,Winter,Clay,Sinai,0,26021,0,11511,1054,37874,18457
Maize,30,Summer,Clay,Delta,17080,13798,10600,11793,7286,44452,13118
Sugarcane,15,Summer,Clay,Upper_Egypt,25225,28404,20127,26305,6810,98135,2500
Fava Beans,1,Winter,Calcareous,Sinai,682,405,388,418,245,18635,44504
Sugarcane,240,Summer,Clay,Upper_Egypt,0,0,0,95374,8249,103817,2500
Cotton,7,Summer,Clay,Delta,8627,5870,4753,5105,3777,16815,27357
Cotton,147,Summer,Sandy,Delta,19205,15288,3035,16074,19032,13489,30360
Tomato,61,Nile,Clay,North_Coast,48934,32974,38302,10854,0,40547,4249
Maize,293,Nile,Clay,Delta,33873,4122,8895,10548,18546,37291,13080
Potato,7,Nile,Clay,Delta,12253,10977,9868,8578,4387,67423,5935
Maize,112,Summer,Clay,Upper_Egypt,0,11194,0,11706,7632,25418,12750
Cotton,44,Summer,Clay,Delta,25474,13732,2592,0,750,10299,29781
Wheat,58,Winter,Clay,NewLands,3478,4748,1830,1029,2076,25708,17831
Sugarcane,1,Nile,Loamy,Upper_Egypt,2502,1940,2092,2121,694,102096,2500
Rice,352,Summer,Clay,NewLands,952,51,0,9131,8108,84285,22222
Cotton,15,Summer,Clay,Delta,16605,10010,8986,10527,7359,28204,29569
Tomato,27,Nile,Loamy,Sinai,0,48854,20670,45245,29865,44947,3961
Cotton,52,Summer,Clay,Upper_Egypt,11009,36110,28222,5690,0,27021,30647
Potato,15,Winter,Sandy,Delta,0,39050,20976,31213,13756,30723,5749
Maize,112,Summer,Clay,Upper_Egypt,23644,4984,11320,13900,2309,32587,12878
Maize,53,Summer,Sandy,Upper_Egypt,24751,7838,6125,11528,7950,34914,13262
Tomato,40,Winter,Loamy,Upper_Egypt,4749,32257,32856,31429,7103,42050,4430
Potato,10,Winter,Loamy,Sinai,17605,13684,13437,14539,6307,25572,6251
Rice,100,Summer,Clay,Delta,75816,62180,63345,55976,34332,80226,22437
Fava Beans,50,Nile,Loamy,Sinai,37086,7422,12179,8161,4622,25954,44289
Potato,15,Nile,Sandy,Sinai,24590,20425,15315,18210,8823,27042,6009
Maize,50,Summer,Sandy,North_Coast,32382,24257,20662,20091,14437,27109,12934
Wheat,108,Winter,Calcareous,Delta,12084,14226,5433,0,0,28842,18705
Rice,10,Summer,Loamy,Delta,8545,7136,7511,5727,3543,72996,22954
Rice,121,Summer,Clay,Delta,21211,26543,199,11312,10418,84267,23118
Potato,4,Winter,Clay,Sinai,60278,10779,23120,24537,24703,36748,4985
Rice,390,Summer,Clay,Delta,4577,36147,29409,0,16460,78979,24085
Sugarcane,128,Summer,Sandy,Upper_Egypt,0,39764,26132,0,21156,105469,2500
Cotton,70,Summer,Loamy,Upper_Egypt,15630,11952,30872,7337,10901,19227,30825
Maize,156,Summer,Loamy,NewLands,24847,13435,0,11784,1607,25973,12789
Fava Beans,7,Winter,Clay,Delta,15542,10015,0,5374,6266,24390,44547
Potato,43,Nile,Sandy,North_Coast,45174,72015,2712,32652,0,36214,5175
Maize,156,Summer,Clay,North_Coast,36864,14939,14385,22932,3992,21845,13149
Potato,74,Winter,Loamy,Sinai,33643,44714,0,37816,14266,41272,5735
Potato,33,Summer,Sandy,NewLands,37271,83514,0,50933,11883,37212,5963
Sugarcane,3,Summer,Clay,Upper_Egypt,7126,5442,4964,5355,1639,92522,2500
Rice,390,Summer,Clay,Delta,35671,0,0,26151,825,77275,22293
Cotton,30,Summer,Sandy,Delta,10006,0,16810,13184,18735,12016,28882
Tomato,96,Nile,Loamy,Delta,0,15038,20242,70150,6707,35033,4617
Fava Beans,38,Winter,Clay,North_Coast,13323,12892,14713,0,3892,20934,44817
Rice,50,Summer,Loamy,Delta,34391,34249,33181,26870,17947,72625,22921
Potato,21,Winter,Clay,NewLands,38765,54611,6816,20480,24228,36114,6295
Fava Beans,10,Winter,Clay,North_Coast,13943,9983,2734,17050,2820,21119,44485
Sugarcane,63,Nile,Clay,Upper_Egypt,23481,0,6434,64744,4728,110377,2500
Rice,192,Nile,Clay,Delta,23822,26608,23685,0,10703,83009,21997
Wheat,10,Winter,Loamy,Delta,8339,5798,4795,4669,3272,32432,18455
Cotton,51,Summer,Loamy,NewLands,29342,41251,11398,4317,38346,12083,27559
Cotton,50,Summer,Loamy,Delta,53278,33846,28067,37595,19517,22613,26320
Sugarcane,48,Nile,Loamy,Upper_Egypt,31488,10454,33513,23138,10646,104531,2500
Tomato,28,Nile,Sandy,Upper_Egypt,45581,13196,59987,30516,10421,34324,4478
Fava Beans,41,Winter,Clay,Upper_Egypt,32671,0,0,9048,6551,27194,44458
Maize,161,Summer,Loamy,Delta,17900,6373,8326,13206,11306,22913,12993
Tomato,50,Summer,Loamy,Upper_Egypt,54651,53147,58864,62605,31674,67535,5773
Potato,15,Nile,Sandy,North_Coast,23784,19950,19140,22529,9104,35418,5793
Potato,41,Winter,Clay,Delta,76328,0,0,0,23491,8456,6247
Cotton,43,Summer,Calcareous,Upper_Egypt,33225,7795,22236,23461,15509,15514,28932
Rice,300,Nile,Clay,Delta,21382,24429,19627,20535,12963,78358,23170
Fava Beans,20,Winter,Calcareous,Upper_Egypt,10080,5894,5895,6623,3342,26664,44465
Potato,11,Winter,Sandy,Delta,55826,4305,45567,32083,22903,26605,5703
Sugarcane,2,Summer,Clay,Upper_Egypt,4462,4091,3738,4673,1136,108635,2500
Cotton,15,Summer,Clay,Delta,17999,10883,8651,12575,7573,16954,31500
Fava Beans,84,Winter,Calcareous,Upper_Egypt,13806,8342,6702,3788,0,18672,44522
Wheat,71,Winter,Sandy,Upper_Egypt,14669,10172,26628,16469,8140,30147,17328
Rice,459,Summer,Loamy,Delta,21669,15043,40131,0,9349,74535,22793
Sugarcane,194,Nile,Sandy,NewLands,23563,80626,29348,65733,20197,108332,2500
Cotton,115,Summer,Calcareous,NewLands,0,15408,7599,9740,1555,23459,29520
Sugarcane,213,Summer,Clay,Upper_Egypt,0,70964,39436,83496,22551,102268,2500
Tomato,68,Nile,Clay,North_Coast,4889,15626,31738,43308,38870,41037,5048
Maize,40,Summer,Clay,NewLands,38091,0,9784,10922,0,42853,13084
Cotton,50,Summer,Sandy,Upper_Egypt,23298,1050,18584,35134,0,18600,28661
Wheat,33,Winter,Sandy,Sinai,21010,10023,23181,0,0,38663,17266
Maize,234,Summer,Loamy,Upper_Egypt,19432,0,8488,391,11679,42777,13214
Fava Beans,5,Winter,Calcareous,Upper_Egypt,3172,1668,1564,2042,928,22038,44378
Maize,7,Summer,Loamy,Delta,7062,10649,10415,12344,5237,31063,13072
Maize,261,Nile,Loamy,Delta,3364,25491,10729,0,0,37524,12674
Cotton,121,Nile,Sandy,Delta,0,25489,17365,28067,20388,13760,29472
Wheat,8,Winter,Loamy,Upper_Egypt,17674,5228,189,15451,5381,20195,18426
Cotton,131,Nile,Clay,Upper_Egypt,23337,841,8320,36494,17939,9244,30222
